1. ['ethanol', 'methanol']
2. ['polyethylene', 'polypropylene']
3. ['sodium chloride', 'potassium chloride']
4. ['sodium bicarbonate', 'sodium carbonate']
5. ['potassium nitrate', 'sodium nitrate']
6. ['isoprene', 'neoprene']
7. ['vitamin A', 'vitamin E']
8. ['cyanide', 'isocyanide']
9. ['ethylene glycol', 'diethylene glycol']
10. ['serine', 'threonine']
11. ['nickel oxide', 'copper oxide']
12. ['stearic acid', 'palmitic acid']
13. ['pyridine', 'pyrimidine']
14. ['glyceride', 'triglyceride']
15. ['copper sulfate', 'zinc sulfate']
16. ['sebacic acid', 'azelaic acid']
17. ['cyclohexene', 'cyclobutene']
18. ['cadmium sulfide', 'zinc sulfide']
19. ['ferrocene', 'nickelocene']
20. ['acetylene', 'ethylene']
21. ['methyl salicylate', 'ethyl salicylate']
22. ['calcium nitrate', 'potassium nitrate']
23. ['butyric acid', 'valeric acid']
24. ['rubidium chloride', 'potassium chloride']
25. ['sulfur hexafluoride', 'nitrogen trifluoride']
26. ['copper oxide', 'iron oxide']
27. ['vitamin C', 'vitamin K']
28. ['acrylamide', 'methacrylamide']
29. ['acetophenone', 'benzophenone']
30. ['sodium alginate', 'potassium alginate']
31. ['sodium persulfate', 'ammonium persulfate']
32. ['bisphenol A', 'bisphenol S']
33. ['potassium bromide', 'sodium bromide']
34. ['sodium hypochlorite', 'calcium hypochlorite']
35. ['galacturonic acid', 'glucuronic acid']
36. ['zinc stearate', 'calcium stearate']
37. ['stannous chloride', 'stannic chloride']
38. ['polysorbate 80', 'polysorbate 20']
39. ['sodium acetate', 'potassium acetate']
40. ['phosphonate', 'phosphate']
41. ['taurine', 'arginine']
42. ['lithium carbonate', 'sodium carbonate']
43. ['sodium bisulfite', 'sodium metabisulfite']
44. ['dodecane', 'decane']
45. ['butyraldehyde', 'valeraldehyde']
46. ['anthranilic acid', 'salicylic acid']
47. ['polystyrene', 'polypropylene']
48. ['ammonium bicarbonate', 'sodium bicarbonate']
