1. ['methanol', 'monarch']
2. ['ethanol', 'eagle']
3. ['polypropylene', 'puzzle']
4. ['potassium chloride', 'prism']
5. ['sodium carbonate', 'sandwich']
6. ['neoprene', 'nebula']
7. ['vitamin E', 'escalade']
8. ['isocyanide', 'icicle']
9. ['diethylene glycol', 'drum']
10. ['threonine', 'torpedo']
11. ['ethylene', 'espresso']
12. ['chloride', 'clog']
13. ['bicarbonate', 'bagel']
14. ['nitrate', 'navigator']
15. ['vitamin', 'velcro']
16. ['sodium', 'skyscraper']
17. ['potassium', 'kaleidoscope']
18. ['cyanide', 'cabana']
19. ['glycol', 'gladiator']
20. ['serine', 'silo']
21. ['polyethylene', 'plaza']
22. ['methanol', 'mandolin']
23. ['ethanol', 'eruption']
24. ['polypropylene', 'puppeteer']
25. ['sodium chloride', 'shadow']
26. ['sodium carbonate', 'sabotage']
27. ['neoprene', 'nocturne']
28. ['vitamin A', 'vault']
29. ['isocyanide', 'impulse']
30. ['diethylene glycol', 'daguerreotype']
31. ['threonine', 'turbine']
32. ['ethylene', 'explorer']
33. ['chloride', 'clam']
34. ['bicarbonate', 'batik']
35. ['nitrate', 'notebook']
36. ['vitamin', 'vendetta']
37. ['sodium', 'sweater']
38. ['potassium', 'parade']
39. ['cyanide', 'couch']
40. ['glycol', 'griddle']
41. ['serine', 'satellite']
42. ['polyethylene', 'platypus']
43. ['methanol', 'muffin']
44. ['ethanol', 'eggplant']
45. ['polypropylene', 'passport']
46. ['sodium chloride', 'scarf']
47. ['sodium carbonate', 'saxophone']
48. ['neoprene', 'newspaper']
49. ['vitamin A', 'vortex']
50. ['isocyanide', 'ink']
51. ['methanol', 'mascot']
52. ['ethanol', 'entourage']
53. ['polypropylene', 'parrot']
54. ['potassium chloride', 'pilgrimage']
55. ['sodium carbonate', 'samurai']
56. ['neoprene', 'nexus']
57. ['vitamin E', 'vespa']
58. ['isocyanide', 'interpreter']
59. ['diethylene glycol', 'dock']
60. ['threonine', 'tapestry']
61. ['ethylene', 'escalator']
62. ['chloride', 'clique']
63. ['bicarbonate', 'balloon']
64. ['nitrate', 'nucleus']
65. ['vitamin', 'vista']
66. ['sodium', 'symphony']
67. ['potassium', 'patriot']
68. ['cyanide', 'carnival']
69. ['glycol', 'grape']
70. ['serine', 'sphinx']
71. ['polyethylene', 'pirate']
72. ['methanol', 'mosaic']
73. ['ethanol', 'edifice']
74. ['polypropylene', 'panther']
75. ['sodium chloride', 'sculpture']
76. ['sodium carbonate', 'seagull']
77. ['neoprene', 'noodle']
78. ['vitamin A', 'valet']
79. ['isocyanide', 'ignition']
80. ['diethylene glycol', 'dolphin']
81. ['threonine', 'terrace']
82. ['ethylene', 'elf']
83. ['chloride', 'charade']
84. ['bicarbonate', 'beacon']
85. ['nitrate', 'nugget']
